Game,MessageId,Submitter,Url 1,Url 2,Url 3,Url 4
Ad Infinitum,938271121952899082,Thinky Puzzle Bot,https://auroriax.itch.io/ad-infinitum,,,
Discovery jigsaw,938270463191314432,Thinky Puzzle Bot,https://portponky.itch.io/discovery-jigsaw,,,
Flood Gates,938226435963904020,Thinky Puzzle Bot,https://toombler.itch.io/flood-gates,,,
Blite | Global Game Jam,938171765354549328,Thinky Puzzle Bot,https://globalgamejam.org/2022/games/blite-6,,,
The Sojourn,938171487825829889,Thinky Puzzle Bot,https://store.steampowered.com/app/794960/The_Sojourn/,https://www.epicgames.com/store/en-US/product/the-sojourn/home,https://store.playstation.com/?resolve=EP3652-CUSA13943_00-THESOJOURNXXXXXX,
Otteretto,938026740574474301,mopp,https://csklimowski.itch.io/otteretto,,,
Gestalt_OS,937539528707702795,~kjeann,https://games.increpare.com/Gestalt_OS/,,,
Overlapped,937389922489344051,Beekie,https://unnamedcollective.itch.io/overlapped,,,
null,937049561728450641,skymoo,https://twitter.com/Thinkwert/status/1478458934931382291,,,
Myst & More Bundle (pay what you want and help charity),936937214942777394,zaratustra,https://www.humblebundle.com/games/myst-more-bundle,,,
Flip The Page,935043617020596244,galactical (Jonah),https://galactical.itch.io/flip-the-page,,,
Strange Horticulture,934087932262887465,mopp,https://store.steampowered.com/app/1574580/Strange_Horticulture/,,,
Word Game,934061107117694976,KirraLuan,https://store.steampowered.com/app/1109570/_/,,,
Relicta,933766704289423402,skymoo,https://www.epicgames.com/store/en-US/p/relicta,,,
Alan's Automaton Workshop,933750994406367293,skepticaljesus,https://store.steampowered.com/app/1289990/Alans_Automaton_Workshop/,,,
Chessformer,933175486559961128,megamanlego,https://store.steampowered.com/app/1701190,,,
Time Master,933024845833322607,MorpheusZ,https://store.steampowered.com/app/1486080/Time_Master/,,,
Supraland Six Inches Under,931659584207192125,biscram,https://store.steampowered.com/app/1522870/Supraland_Six_Inches_Under/,,,
Snakebird Primer,931560779952562196,carnaxcce,https://store.steampowered.com/app/1014140/Snakebird_Primer/,,,
Snakebird - Apps on Google Play,931463253173887016,Sweetie Belle,https://play.google.com/store/apps/details?id=com.NoumenonGames.SnakeBird_Touch,,,
Geode,931300959416647720,Neonesque,https://neonesque.itch.io/geode,,,
Monstrüous,930961131542028390,Beekie,https://nonomiyo.itch.io/monstruous,,,
That Gravity Glow,930425814816788521,qwaffles,https://toombler.itch.io/that-gravity-glow,,,
Ultra Hat Dimension,930195468305182781,PleasingFungus,https://store.steampowered.com/app/628830/Ultra_Hat_Dimension/,,,
Magicube (Demo),929088608839823410,qwaffles,https://nebu-soku.itch.io/magicube,,,
63: a puzzle race game,928884298608689203,Matt Mistele,https://solve63.com/,,,
Stray Cat Doors - Apps on Google Play,928376691859021845,Sweetie Belle,https://play.google.com/store/apps/details?id=com.pulsmo.StrayCatDoors,,,
Conveyor Con-fusion,927535234776436836,knexator,https://thinkycollective.itch.io/conveyor-confusion,,,
Lizard Land For Playingcards.io - Google Docs,927348917643935754,Arthur Wohlwill (He/Him),https://docs.google.com/document/d/1HfXZhoLyqCjk0r7fWAZe55siHkKtJBkkTLevWLoGnFs/edit?usp=sharing,,,
The Godkiller - Chapter 1,926909062778589216,F$X(%),https://store.steampowered.com/app/1449570/The_Godkiller__Chapter_1/,,,
bontegames: the bontegames 2021 top games,925432695700455444,minotalen,https://www.bontegames.com/2021/12/the-bontegames-2021-top-games.html,,,
